TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
0.00000,-3.005782E+006,-1.570904E+006,5.383572E+006,0.00000,1.000000E-003,0.00000,-0.00000,0.100000,12.9708,22.7979,0.00000,-2.241877E-019,89.9900,191.856,2.938669E-004
0.100000,-3.005771E+006,-1.570926E+006,5.383572E+006,2.054570E-007,1.074936E-003,0.00000,3.516148E-005,1.39905,12.9912,22.8183,-3.301054E-010,-1.320288E-008,89.9900,191.856,4.111361E-003
0.200000,-3.005759E+006,-1.570948E+006,5.383572E+006,7.651648E-007,1.279879E-003,0.00000,1.328039E-004,2.70015,13.0116,22.8387,-2.541949E-009,-5.127365E-008,89.9899,191.856,7.934869E-003
0.300000,-3.005748E+006,-1.570970E+006,5.383573E+006,1.679761E-006,1.615034E-003,0.00000,2.948876E-004,4.00329,13.0321,22.8592,-8.479056E-009,-1.147201E-007,89.9898,191.857,1.176442E-002
0.400000,-3.005737E+006,-1.570992E+006,5.383573E+006,2.949893E-006,2.080605E-003,0.00000,5.233806E-004,5.30847,13.0525,22.8796,-1.999907E-008,-2.040510E-007,89.9898,191.857,1.560004E-002
0.500000,-3.005726E+006,-1.571014E+006,5.383573E+006,4.576210E-006,2.676797E-003,0.00000,8.202534E-004,6.61571,13.0731,22.9002,-3.897354E-008,-3.197762E-007,89.9897,191.858,1.944175E-002
0.600000,-3.005715E+006,-1.571036E+006,5.383574E+006,6.559376E-006,3.403815E-003,0.00000,1.187481E-003,7.92500,13.0936,22.9207,-6.728774E-008,-4.624061E-007,89.9896,191.858,2.328959E-002
0.700000,-3.005704E+006,-1.571058E+006,5.383575E+006,8.900060E-006,4.261866E-003,0.00000,1.627038E-003,9.23635,13.1142,22.9413,-1.068404E-007,-6.324522E-007,89.9896,191.858,2.714358E-002
0.800000,-3.005693E+006,-1.571080E+006,5.383576E+006,1.159894E-005,5.251154E-003,0.00000,2.140908E-003,10.5498,13.1349,22.9620,-1.595435E-007,-8.304267E-007,89.9895,191.859,3.100374E-002
0.900000,-3.005682E+006,-1.571103E+006,5.383577E+006,1.465670E-005,6.371887E-003,0.00000,2.731072E-003,11.8652,13.1555,22.9826,-2.273222E-007,-1.056842E-006,89.9894,191.859,3.487012E-002
1.00000,-3.005671E+006,-1.571125E+006,5.383578E+006,1.807403E-005,7.624271E-003,0.00000,3.399517E-003,13.1828,13.1763,23.0033,-3.121144E-007,-1.312212E-006,89.9893,191.859,3.874273E-002
1.10000,-3.005660E+006,-1.571147E+006,5.383579E+006,2.185163E-005,9.008513E-003,0.00000,4.148233E-003,14.5024,13.1970,23.0241,-4.158704E-007,-1.597050E-006,89.9892,191.860,4.262161E-002
1.20000,-3.005649E+006,-1.571169E+006,5.383580E+006,2.599022E-005,1.052482E-002,0.00000,4.979214E-003,15.8241,13.2178,23.0449,-5.405533E-007,-1.911870E-006,89.9891,191.860,4.650678E-002
1.30000,-3.005639E+006,-1.571192E+006,5.383582E+006,3.049051E-005,1.217340E-002,0.00000,5.894455E-003,17.1479,13.2386,23.0657,-6.881379E-007,-2.257187E-006,89.9890,191.860,5.039827E-002
1.40000,-3.005628E+006,-1.571214E+006,5.383583E+006,3.535323E-005,1.395446E-002,0.00000,6.895953E-003,18.4737,13.2595,23.0865,-8.606110E-007,-2.633517E-006,89.9889,191.861,5.429611E-002
1.50000,-3.005617E+006,-1.571236E+006,5.383585E+006,4.057911E-005,1.586822E-002,0.00000,7.985715E-003,19.8017,13.2803,23.1074,-1.059971E-006,-3.041372E-006,89.9888,191.861,5.820033E-002
1.60000,-3.005607E+006,-1.571259E+006,5.383586E+006,4.616889E-005,1.791487E-002,0.00000,9.165740E-003,21.1317,13.3013,23.1283,-1.288229E-006,-3.481270E-006,89.9887,191.861,6.211095E-002
1.70000,-3.005596E+006,-1.571281E+006,5.383588E+006,5.212332E-005,2.009463E-002,0.00000,1.043804E-002,22.4638,13.3222,23.1493,-1.547404E-006,-3.953726E-006,89.9886,191.862,6.602802E-002
