TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
0.00000,-3.005782E+006,-1.570904E+006,5.383572E+006,0.00000,1.000000E-003,0.00000,-0.00000,0.100000,12.9708,22.7979,0.00000,-5.169238E-019,89.9900,202.458,2.938669E-004
0.100000,-3.005771E+006,-1.570926E+006,5.383572E+006,2.067605E-007,1.074936E-003,0.00000,3.911664E-005,1.39905,12.9912,22.8183,-2.876687E-010,-1.326018E-008,89.9899,202.459,4.111361E-003
0.200000,-3.005759E+006,-1.570948E+006,5.383572E+006,7.702105E-007,1.279879E-003,0.00000,1.479902E-004,2.70015,13.0116,22.8387,-2.307470E-009,-5.172348E-008,89.9898,202.459,7.934869E-003
0.300000,-3.005748E+006,-1.570970E+006,5.383573E+006,1.691026E-006,1.615034E-003,0.00000,3.285834E-004,4.00329,13.0321,22.8592,-7.800050E-009,-1.162302E-007,89.9897,202.459,1.176442E-002
0.400000,-3.005737E+006,-1.570992E+006,5.383573E+006,2.969893E-006,2.080605E-003,0.00000,5.828773E-004,5.30847,13.0525,22.8796,-1.851939E-008,-2.076240E-007,89.9896,202.460,1.560004E-002
0.500000,-3.005726E+006,-1.571014E+006,5.383573E+006,4.607504E-006,2.676797E-003,0.00000,9.128460E-004,6.61571,13.0731,22.9002,-3.623260E-008,-3.267524E-007,89.9895,202.460,1.944175E-002
0.600000,-3.005715E+006,-1.571036E+006,5.383574E+006,6.604556E-006,3.403815E-003,0.00000,1.320468E-003,7.92500,13.0936,22.9207,-6.271975E-008,-4.744658E-007,89.9894,202.460,2.328959E-002
0.700000,-3.005704E+006,-1.571058E+006,5.383575E+006,8.961758E-006,4.261866E-003,0.00000,1.807731E-003,9.23635,13.1142,22.9413,-9.977362E-008,-6.516181E-007,89.9893,202.461,2.714358E-002
0.800000,-3.005693E+006,-1.571080E+006,5.383576E+006,1.167983E-005,5.251154E-003,0.00000,2.376616E-003,10.5498,13.1349,22.9620,-1.491995E-007,-8.590661E-007,89.9892,202.461,3.100374E-002
0.900000,-3.005682E+006,-1.571103E+006,5.383577E+006,1.475949E-005,6.371887E-003,0.00000,3.029116E-003,11.8652,13.1555,22.9826,-2.128152E-007,-1.097670E-006,89.9891,202.461,3.487012E-002
1.00000,-3.005671E+006,-1.571125E+006,5.383578E+006,1.820147E-005,7.624271E-003,0.00000,3.767227E-003,13.1828,13.1763,23.0033,-2.924503E-007,-1.368292E-006,89.9890,202.462,3.874273E-002
1.10000,-3.005660E+006,-1.571147E+006,5.383579E+006,2.200651E-005,9.008513E-003,0.00000,4.592935E-003,14.5024,13.1970,23.0241,-3.899465E-007,-1.671799E-006,89.9888,202.462,4.262161E-002
1.20000,-3.005649E+006,-1.571169E+006,5.383580E+006,2.617536E-005,1.052482E-002,0.00000,5.508250E-003,15.8241,13.2178,23.0449,-5.071571E-007,-2.009058E-006,89.9887,202.462,4.650678E-002
1.30000,-3.005639E+006,-1.571192E+006,5.383582E+006,3.070878E-005,1.217340E-002,0.00000,6.515167E-003,17.1479,13.2386,23.0657,-6.459470E-007,-2.380939E-006,89.9886,202.463,5.039827E-002
