TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
438.400,-4.017489E+006,-2.080148E+006,4.564941E+006,1399.27,59.6468,1.398536E+006,-45634.0,3677.21,10.2973,-3.949079E-002,1.852354E-014,0.701675,-18.8019,186.170,11.4789
438.500,-4.017708E+006,-2.080254E+006,4.564668E+006,1399.63,59.6224,1.398900E+006,-45638.4,3677.25,10.2994,-3.961542E-002,2.219635E-014,0.703861,-18.8146,186.170,11.4779
438.600,-4.017926E+006,-2.080360E+006,4.564395E+006,1400.00,59.5978,1.399263E+006,-45642.7,3677.29,10.3015,-3.974084E-002,1.880757E-014,0.706061,-18.8275,186.171,11.4770
438.700,-4.018145E+006,-2.080466E+006,4.564121E+006,1400.36,59.5733,1.399627E+006,-45647.1,3677.34,10.3036,-3.986706E-002,1.848561E-014,0.708275,-18.8403,186.171,11.4760
438.800,-4.018363E+006,-2.080572E+006,4.563848E+006,1400.72,59.5486,1.399990E+006,-45651.4,3677.38,10.3057,-3.999408E-002,2.274447E-014,0.710502,-18.8531,186.171,11.4750
438.900,-4.018582E+006,-2.080677E+006,4.563574E+006,1401.09,59.5238,1.400354E+006,-45655.8,3677.42,10.3078,-4.012190E-002,1.979370E-014,0.712744,-18.8659,186.171,11.4740
439.000,-4.018800E+006,-2.080783E+006,4.563300E+006,1401.45,59.4990,1.400718E+006,-45660.1,3677.46,10.3099,-4.025053E-002,2.009098E-014,0.715000,-18.8787,186.171,11.4730
439.100,-4.019018E+006,-2.080889E+006,4.563026E+006,1401.81,59.4741,1.401081E+006,-45664.5,3677.51,10.3121,-4.037998E-002,2.154671E-014,0.717270,-18.8915,186.172,11.4721
439.200,-4.019236E+006,-2.080995E+006,4.562753E+006,1402.18,59.4491,1.401445E+006,-45668.8,3677.55,10.3142,-4.051025E-002,1.899376E-014,0.719554,-18.9043,186.172,11.4711
439.300,-4.019454E+006,-2.081100E+006,4.562479E+006,1402.54,59.4240,1.401808E+006,-45673.1,3677.59,10.3164,-4.064134E-002,2.060614E-014,0.721853,-18.9171,186.172,11.4701
439.400,-4.019672E+006,-2.081206E+006,4.562205E+006,1402.90,59.3988,1.402172E+006,-45677.5,3677.64,10.3186,-4.077327E-002,2.170985E-014,0.724166,-18.9300,186.172,11.4691
439.500,-4.019890E+006,-2.081311E+006,4.561931E+006,1403.27,59.3736,1.402535E+006,-45681.8,3677.68,10.3208,-4.090603E-002,2.073813E-014,0.726493,-18.9428,186.172,11.4681
439.600,-4.020108E+006,-2.081417E+006,4.561657E+006,1403.63,59.3483,1.402899E+006,-45686.1,3677.72,10.3230,-4.103964E-002,2.184934E-014,0.728836,-18.9556,186.173,11.4671
439.700,-4.020326E+006,-2.081523E+006,4.561382E+006,1403.99,59.3229,1.403263E+006,-45690.4,3677.77,10.3252,-4.117409E-002,1.936535E-014,0.731193,-18.9685,186.173,11.4661
439.800,-4.020544E+006,-2.081628E+006,4.561108E+006,1404.36,59.2974,1.403626E+006,-45694.7,3677.81,10.3275,-4.130939E-002,1.903368E-014,0.733565,-18.9813,186.173,11.4651
439.900,-4.020761E+006,-2.081733E+006,4.560834E+006,1404.72,59.2718,1.403990E+006,-45699.1,3677.85,10.3297,-4.144555E-002,2.076541E-014,0.735952,-18.9941,186.173,11.4641
440.000,-4.020979E+006,-2.081839E+006,4.560559E+006,1405.08,59.2461,1.404353E+006,-45703.4,3677.90,10.3320,-4.158257E-002,2.147225E-014,0.738354,-19.0070,186.173,11.4631
440.100,-4.021196E+006,-2.081944E+006,4.560285E+006,1405.45,59.2204,1.404717E+006,-45707.7,3677.94,10.3343,-4.172046E-002,1.935267E-014,0.740771,-19.0198,186.174,11.4621
440.200,-4.021414E+006,-2.082050E+006,4.560010E+006,1405.81,59.1946,1.405080E+006,-45712.0,3677.99,10.3366,-4.185922E-002,2.198998E-014,0.743203,-19.0327,186.174,11.4610
440.300,-4.021631E+006,-2.082155E+006,4.559736E+006,1406.18,59.1687,1.405444E+006,-45716.3,3678.03,10.3389,-4.199887E-002,2.244059E-014,0.745650,-19.0455,186.174,11.4600
440.400,-4.021849E+006,-2.082260E+006,4.559461E+006,1406.54,59.1427,1.405808E+006,-45720.6,3678.08,10.3412,-4.213939E-002,2.264846E-014,0.748113,-19.0584,186.174,11.4590
440.500,-4.022066E+006,-2.082365E+006,4.559186E+006,1406.90,59.1166,1.406171E+006,-45724.9,3678.12,10.3436,-4.228081E-002,2.097527E-014,0.750592,-19.0713,186.174,11.4580
440.600,-4.022283E+006,-2.082471E+006,4.558912E+006,1407.27,59.0904,1.406535E+006,-45729.1,3678.17,10.3459,-4.242313E-002,2.162929E-014,0.753086,-19.0841,186.175,11.4569
440.700,-4.022500E+006,-2.082576E+006,4.558637E+006,1407.63,59.0642,1.406898E+006,-45733.4,3678.21,10.3483,-4.256634E-002,2.203948E-014,0.755596,-19.0970,186.175,11.4559
440.800,-4.022717E+006,-2.082681E+006,4.558362E+006,1407.99,59.0379,1.407262E+006,-45737.7,3678.26,10.3507,-4.271047E-002,2.181864E-014,0.758121,-19.1099,186.175,11.4549
440.900,-4.022934E+006,-2.082786E+006,4.558087E+006,1408.36,59.0115,1.407626E+006,-45742.0,3678.30,10.3531,-4.285550E-002,2.186881E-014,0.760663,-19.1227,186.175,11.4538
441.000,-4.023151E+006,-2.082891E+006,4.557812E+006,1408.72,58.9850,1.407989E+006,-45746.3,3678.35,10.3555,-4.300146E-002,2.039267E-014,0.763220,-19.1356,186.175,11.4528
441.100,-4.023368E+006,-2.082996E+006,4.557536E+006,1409.08,58.9584,1.408353E+006,-45750.5,3678.39,10.3579,-4.314834E-002,2.066694E-014,0.765794,-19.1485,186.176,11.4518
441.200,-4.023585E+006,-2.083101E+006,4.557261E+006,1409.45,58.9318,1.408716E+006,-45754.8,3678.44,10.3603,-4.329615E-002,2.188351E-014,0.768384,-19.1614,186.176,11.4507
441.300,-4.023801E+006,-2.083206E+006,4.556986E+006,1409.81,58.9050,1.409080E+006,-45759.0,3678.48,10.3628,-4.344490E-002,2.145110E-014,0.770990,-19.1743,186.176,11.4497
441.400,-4.024018E+006,-2.083311E+006,4.556710E+006,1410.17,58.8782,1.409443E+006,-45763.3,3678.53,10.3653,-4.359459E-002,2.223971E-014,0.773612,-19.1872,186.176,11.4486
441.500,-4.024235E+006,-2.083416E+006,4.556435E+006,1410.54,58.8513,1.409807E+006,-45767.6,3678.58,10.3678,-4.374523E-002,2.352028E-014,0.776251,-19.2001,186.176,11.4476
441.600,-4.024451E+006,-2.083521E+006,4.556159E+006,1410.90,58.8243,1.410171E+006,-45771.8,3678.62,10.3703,-4.389683E-002,2.143804E-014,0.778907,-19.2130,186.177,11.4465
441.700,-4.024668E+006,-2.083626E+006,4.555884E+006,1411.26,58.7973,1.410534E+006,-45776.1,3678.67,10.3728,-4.404939E-002,2.463770E-014,0.781579,-19.2259,186.177,11.4454
441.800,-4.024884E+006,-2.083730E+006,4.555608E+006,1411.63,58.7701,1.410898E+006,-45780.3,3678.72,10.3753,-4.420291E-002,2.308338E-014,0.784269,-19.2388,186.177,11.4444
441.900,-4.025100E+006,-2.083835E+006,4.555332E+006,1411.99,58.7429,1.411261E+006,-45784.5,3678.76,10.3779,-4.435741E-002,2.320972E-014,0.786975,-19.2517,186.177,11.4433
442.000,-4.025317E+006,-2.083940E+006,4.555056E+006,1412.36,58.7156,1.411625E+006,-45788.8,3678.81,10.3805,-4.451289E-002,2.156893E-014,0.789698,-19.2646,186.177,11.4422
442.100,-4.025533E+006,-2.084045E+006,4.554781E+006,1412.72,58.6882,1.411989E+006,-45793.0,3678.86,10.3830,-4.466935E-002,2.138331E-014,0.792438,-19.2775,186.178,11.4412
442.200,-4.025749E+006,-2.084149E+006,4.554505E+006,1413.08,58.6607,1.412352E+006,-45797.2,3678.90,10.3856,-4.482681E-002,2.316645E-014,0.795196,-19.2904,186.178,11.4401
442.300,-4.025965E+006,-2.084254E+006,4.554229E+006,1413.45,58.6331,1.412716E+006,-45801.5,3678.95,10.3883,-4.498527E-002,2.498575E-014,0.797971,-19.3034,186.178,11.4390
442.400,-4.026181E+006,-2.084358E+006,4.553952E+006,1413.81,58.6055,1.413079E+006,-45805.7,3679.00,10.3909,-4.514473E-002,2.516847E-014,0.800763,-19.3163,186.178,11.4379
442.500,-4.026397E+006,-2.084463E+006,4.553676E+006,1414.17,58.5777,1.413443E+006,-45809.9,3679.05,10.3935,-4.530520E-002,2.427308E-014,0.803573,-19.3292,186.178,11.4368
442.600,-4.026613E+006,-2.084568E+006,4.553400E+006,1414.54,58.5499,1.413807E+006,-45814.1,3679.09,10.3962,-4.546670E-002,2.363610E-014,0.806401,-19.3422,186.178,11.4358
442.700,-4.026829E+006,-2.084672E+006,4.553124E+006,1414.90,58.5220,1.414170E+006,-45818.3,3679.14,10.3989,-4.562922E-002,2.463705E-014,0.809247,-19.3551,186.179,11.4347
442.800,-4.027044E+006,-2.084776E+006,4.552847E+006,1415.26,58.4941,1.414534E+006,-45822.5,3679.19,10.4016,-4.579277E-002,2.259087E-014,0.812111,-19.3680,186.179,11.4336
442.900,-4.027260E+006,-2.084881E+006,4.552571E+006,1415.63,58.4660,1.414897E+006,-45826.7,3679.24,10.4043,-4.595736E-002,2.593026E-014,0.814992,-19.3810,186.179,11.4325
443.000,-4.027476E+006,-2.084985E+006,4.552294E+006,1415.99,58.4378,1.415261E+006,-45830.9,3679.29,10.4070,-4.612300E-002,2.301962E-014,0.817892,-19.3939,186.179,11.4314
443.100,-4.027691E+006,-2.085090E+006,4.552018E+006,1416.35,58.4096,1.415624E+006,-45835.1,3679.33,10.4098,-4.628969E-002,2.278298E-014,0.820810,-19.4069,186.179,11.4303
443.200,-4.027907E+006,-2.085194E+006,4.551741E+006,1416.72,58.3813,1.415988E+006,-45839.3,3679.38,10.4125,-4.645744E-002,2.097113E-014,0.823747,-19.4199,186.180,11.4292
443.300,-4.028122E+006,-2.085298E+006,4.551464E+006,1417.08,58.3529,1.416352E+006,-45843.5,3679.43,10.4153,-4.662625E-002,2.622742E-014,0.826702,-19.4328,186.180,11.4281
443.400,-4.028337E+006,-2.085402E+006,4.551187E+006,1417.44,58.3244,1.416715E+006,-45847.7,3679.48,10.4181,-4.679614E-002,2.300338E-014,0.829676,-19.4458,186.180,11.4270
