TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
480.900,-4.156891E+006,-2.141535E+006,4.391854E+006,1628.62,47.0742,1.627895E+006,-49107.4,3915.18,6.04005,-0.207935,9.377503E-014,-3.75660,8.27742,186.183,11.8714
481.000,-4.157101E+006,-2.141635E+006,4.391542E+006,1629.01,47.0284,1.628281E+006,-49110.5,3915.17,6.01940,-0.209142,9.283556E-014,-3.77839,8.27204,186.183,11.8714
481.100,-4.157311E+006,-2.141734E+006,4.391229E+006,1629.39,46.9825,1.628667E+006,-49113.5,3915.17,5.99800,-0.210383,1.058641E-013,-3.80098,8.26668,186.183,11.8725
481.200,-4.157521E+006,-2.141833E+006,4.390917E+006,1629.78,46.9366,1.629053E+006,-49116.6,3915.16,5.97547,-0.211673,9.547699E-014,-3.82476,8.26136,186.184,11.8753
481.300,-4.157731E+006,-2.141933E+006,4.390604E+006,1630.16,46.8906,1.629439E+006,-49119.6,3915.16,5.95279,-0.212974,9.467190E-014,-3.84872,8.25607,186.184,11.8781
481.400,-4.157941E+006,-2.142032E+006,4.390292E+006,1630.55,46.8446,1.629825E+006,-49122.7,3915.15,5.92994,-0.214284,1.102564E-013,-3.87286,8.25081,186.184,11.8809
481.500,-4.158151E+006,-2.142132E+006,4.389979E+006,1630.94,46.7986,1.630212E+006,-49125.7,3915.14,5.90693,-0.215603,1.003459E-013,-3.89718,8.24559,186.184,11.8837
481.600,-4.158361E+006,-2.142231E+006,4.389667E+006,1631.32,46.7525,1.630598E+006,-49128.8,3915.13,5.88376,-0.216932,9.723711E-014,-3.92168,8.24040,186.184,11.8865
481.700,-4.158570E+006,-2.142330E+006,4.389354E+006,1631.71,46.7064,1.630984E+006,-49131.8,3915.12,5.86043,-0.218271,1.059297E-013,-3.94636,8.23525,186.184,11.8893
481.800,-4.158780E+006,-2.142429E+006,4.389041E+006,1632.09,46.6603,1.631370E+006,-49134.9,3915.11,5.83693,-0.219620,9.813209E-014,-3.97123,8.23013,186.184,11.8921
481.900,-4.158990E+006,-2.142529E+006,4.388729E+006,1632.48,46.6141,1.631756E+006,-49137.9,3915.10,5.81326,-0.220979,1.064857E-013,-3.99629,8.22504,186.185,11.8950
482.000,-4.159199E+006,-2.142628E+006,4.388416E+006,1632.87,46.5679,1.632142E+006,-49140.9,3915.09,5.78943,-0.222348,1.003907E-013,-4.02153,8.21999,186.185,11.8978
482.100,-4.159409E+006,-2.142727E+006,4.388103E+006,1633.25,46.5217,1.632528E+006,-49143.9,3915.08,5.76543,-0.223727,1.021610E-013,-4.04697,8.21498,186.185,11.9006
482.200,-4.159618E+006,-2.142826E+006,4.387790E+006,1633.64,46.4754,1.632914E+006,-49147.0,3915.07,5.74126,-0.225116,1.104617E-013,-4.07259,8.21000,186.185,11.9034
482.300,-4.159828E+006,-2.142926E+006,4.387478E+006,1634.02,46.4291,1.633300E+006,-49150.0,3915.05,5.71692,-0.226515,1.109323E-013,-4.09840,8.20505,186.185,11.9063
