TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
1266.10,-5.280695E+006,-2.742795E+006,2.333913E+006,4067.25,16.5817,4.067247E+006,-603.142,1585.25,55.1771,-10.2505,1.590391E-012,49.0333,-51.5461,187.751,5.37247
1266.20,-5.280634E+006,-2.742795E+006,2.333765E+006,4067.37,16.4770,4.067366E+006,-597.197,1584.01,55.1773,-10.4315,1.731472E-012,49.0332,-51.6099,187.751,5.36826
1266.30,-5.280573E+006,-2.742794E+006,2.333617E+006,4067.48,16.3720,4.067484E+006,-591.276,1582.76,55.1780,-10.6159,1.481646E-012,49.0333,-51.6754,187.750,5.36402
1266.40,-5.280512E+006,-2.742793E+006,2.333470E+006,4067.60,16.2666,4.067602E+006,-585.378,1581.51,55.1768,-10.7531,1.701924E-012,49.0333,-51.7396,187.750,5.35978
1266.50,-5.280450E+006,-2.742792E+006,2.333323E+006,4067.72,16.1610,4.067719E+006,-579.502,1580.25,55.1751,-10.8791,1.668311E-012,49.0333,-51.8047,187.749,5.35553
1266.60,-5.280387E+006,-2.742790E+006,2.333176E+006,4067.84,16.0550,4.067836E+006,-573.651,1579.00,55.1736,-11.0079,1.670360E-012,49.0333,-51.8714,187.749,5.35129
1266.70,-5.280324E+006,-2.742789E+006,2.333029E+006,4067.95,15.9487,4.067952E+006,-567.823,1577.75,55.1723,-11.1395,1.592044E-012,49.0333,-51.9397,187.749,5.34704
1266.80,-5.280261E+006,-2.742787E+006,2.332883E+006,4068.07,15.8421,4.068068E+006,-562.018,1576.50,55.1712,-11.2739,1.646677E-012,49.0333,-52.0098,187.748,5.34280
1266.90,-5.280198E+006,-2.742785E+006,2.332737E+006,4068.18,15.7352,4.068184E+006,-556.236,1575.24,55.1703,-11.4112,1.653125E-012,49.0333,-52.0814,187.748,5.33855
1267.00,-5.280133E+006,-2.742783E+006,2.332591E+006,4068.30,15.6280,4.068299E+006,-550.479,1573.99,55.1698,-11.5514,1.509108E-012,49.0333,-52.1547,187.747,5.33430
1267.10,-5.280069E+006,-2.742781E+006,2.332446E+006,4068.41,15.5205,4.068414E+006,-544.745,1572.73,55.1695,-11.6947,1.631804E-012,49.0333,-52.2295,187.747,5.33004
1267.20,-5.280004E+006,-2.742779E+006,2.332301E+006,4068.53,15.4127,4.068528E+006,-539.034,1571.47,55.1696,-11.8411,1.574451E-012,49.0333,-52.3060,187.746,5.32577
1267.30,-5.279939E+006,-2.742777E+006,2.332156E+006,4068.64,15.3046,4.068642E+006,-533.348,1570.21,55.1700,-11.9906,1.776439E-012,49.0333,-52.3841,187.746,5.32150
1267.40,-5.279873E+006,-2.742774E+006,2.332012E+006,4068.76,15.1962,4.068755E+006,-527.685,1568.95,55.1708,-12.1433,1.677692E-012,49.0333,-52.4638,187.745,5.31721
1267.50,-5.279807E+006,-2.742772E+006,2.331868E+006,4068.87,15.0875,4.068868E+006,-522.046,1567.68,55.1720,-12.2993,1.754927E-012,49.0333,-52.5451,187.745,5.31291
1267.60,-5.279740E+006,-2.742769E+006,2.331724E+006,4068.98,14.9785,4.068980E+006,-516.432,1566.41,55.1736,-12.4587,1.749279E-012,49.0333,-52.6279,187.744,5.30860
1267.70,-5.279673E+006,-2.742766E+006,2.331580E+006,4069.09,14.8692,4.069092E+006,-510.841,1565.13,55.1757,-12.6215,1.890454E-012,49.0333,-52.7124,187.744,5.30428
1267.80,-5.279605E+006,-2.742763E+006,2.331437E+006,4069.20,14.7596,4.069204E+006,-505.274,1563.85,55.1784,-12.7878,1.699171E-012,49.0333,-52.7983,187.743,5.29993
1267.90,-5.279537E+006,-2.742759E+006,2.331294E+006,4069.31,14.6497,4.069315E+006,-499.731,1562.56,55.1816,-12.9577,1.861912E-012,49.0333,-52.8859,187.743,5.29557
1268.00,-5.279469E+006,-2.742756E+006,2.331152E+006,4069.43,14.5395,4.069425E+006,-494.213,1561.27,55.1853,-13.1312,1.721694E-012,49.0333,-52.9749,187.742,5.29119
1268.10,-5.279400E+006,-2.742752E+006,2.331010E+006,4069.54,14.4290,4.069535E+006,-488.719,1559.97,55.1949,-13.3473,1.812846E-012,49.0333,-53.0566,187.742,5.28678
1268.20,-5.279331E+006,-2.742749E+006,2.330868E+006,4069.65,14.3183,4.069645E+006,-483.250,1558.66,55.2065,-13.5750,1.728670E-012,49.0333,-53.1384,187.741,5.28234
1268.30,-5.279261E+006,-2.742745E+006,2.330727E+006,4069.75,14.2073,4.069754E+006,-477.804,1557.34,55.2191,-13.8072,1.862603E-012,49.0333,-53.2217,187.741,5.27786
1268.40,-5.279191E+006,-2.742741E+006,2.330585E+006,4069.86,14.0960,4.069863E+006,-472.384,1556.00,55.2329,-14.0437,1.837021E-012,49.0333,-53.3068,187.740,5.27334
1268.50,-5.279121E+006,-2.742737E+006,2.330445E+006,4069.97,13.9844,4.069971E+006,-466.988,1554.66,55.2479,-14.2849,1.948427E-012,49.0333,-53.3935,187.740,5.26878
1268.60,-5.279050E+006,-2.742732E+006,2.330304E+006,4070.08,13.8725,4.070079E+006,-461.617,1553.30,55.2642,-14.5307,1.957643E-012,49.0333,-53.4818,187.739,5.26417
1268.70,-5.278979E+006,-2.742728E+006,2.330164E+006,4070.19,13.7604,4.070186E+006,-456.270,1551.92,55.2819,-14.7812,1.952465E-012,49.0333,-53.5717,187.739,5.25952
1268.80,-5.278907E+006,-2.742723E+006,2.330024E+006,4070.29,13.6480,4.070293E+006,-450.949,1550.54,55.3010,-15.0365,1.888798E-012,49.0332,-53.6633,187.738,5.25482
1268.90,-5.278835E+006,-2.742719E+006,2.329885E+006,4070.40,13.5354,4.070399E+006,-445.652,1549.14,55.3215,-15.2968,2.175491E-012,49.0333,-53.7564,187.737,5.25008
1269.00,-5.278763E+006,-2.742714E+006,2.329746E+006,4070.50,13.4224,4.070505E+006,-440.381,1547.72,55.3338,-15.4997,2.042919E-012,49.0333,-53.8590,187.737,5.24528
1269.10,-5.278690E+006,-2.742709E+006,2.329607E+006,4070.61,13.3093,4.070610E+006,-435.135,1546.30,55.3430,-15.6802,2.071478E-012,49.0333,-53.9664,187.736,5.24046
1269.20,-5.278617E+006,-2.742704E+006,2.329469E+006,4070.72,13.1958,4.070715E+006,-429.914,1544.87,55.3530,-15.8651,1.962466E-012,49.0333,-54.0751,187.736,5.23561
1269.30,-5.278543E+006,-2.742698E+006,2.329331E+006,4070.82,13.0821,4.070819E+006,-424.718,1543.43,55.3640,-16.0542,1.997704E-012,49.0333,-54.1850,187.735,5.23073
1269.40,-5.278469E+006,-2.742693E+006,2.329193E+006,4070.92,12.9682,4.070923E+006,-419.548,1541.98,55.3761,-16.2478,2.151789E-012,49.0333,-54.2962,187.735,5.22581
1269.50,-5.278394E+006,-2.742688E+006,2.329056E+006,4071.03,12.8540,4.071027E+006,-414.403,1540.52,55.3892,-16.4459,2.133978E-012,49.0333,-54.4087,187.734,5.22086
1269.60,-5.278319E+006,-2.742682E+006,2.328919E+006,4071.13,12.7395,4.071130E+006,-409.284,1539.05,55.4035,-16.6486,2.034215E-012,49.0333,-54.5225,187.733,5.21588
1269.70,-5.278244E+006,-2.742676E+006,2.328782E+006,4071.23,12.6249,4.071232E+006,-404.190,1537.56,55.4190,-16.8560,2.358586E-012,49.0333,-54.6375,187.733,5.21085
1269.80,-5.278169E+006,-2.742670E+006,2.328646E+006,4071.33,12.5099,4.071334E+006,-399.122,1536.07,55.4357,-17.0683,2.158334E-012,49.0333,-54.7538,187.732,5.20579
1269.90,-5.278092E+006,-2.742664E+006,2.328510E+006,4071.44,12.3948,4.071435E+006,-394.080,1534.56,55.4538,-17.2855,2.273119E-012,49.0333,-54.8713,187.731,5.20068
1270.00,-5.278016E+006,-2.742658E+006,2.328375E+006,4071.54,12.2793,4.071536E+006,-389.063,1533.04,55.4733,-17.5078,2.296452E-012,49.0333,-54.9900,187.731,5.19553
1270.10,-5.277939E+006,-2.742652E+006,2.328239E+006,4071.64,12.1637,4.071637E+006,-384.073,1531.51,55.4944,-17.7353,2.172287E-012,49.0333,-55.1099,187.730,5.19034
1270.20,-5.277862E+006,-2.742645E+006,2.328105E+006,4071.74,12.0478,4.071737E+006,-379.109,1529.96,55.5285,-18.0280,2.134076E-012,49.0333,-55.2260,187.730,5.18508
1270.30,-5.277784E+006,-2.742639E+006,2.327970E+006,4071.84,11.9317,4.071836E+006,-374.170,1528.39,55.5667,-18.3355,2.175088E-012,49.0333,-55.3427,187.729,5.17976
1270.40,-5.277706E+006,-2.742632E+006,2.327837E+006,4071.94,11.8154,4.071935E+006,-369.258,1526.80,55.6070,-18.6478,2.462143E-012,49.0333,-55.4608,187.728,5.17436
1270.50,-5.277628E+006,-2.742625E+006,2.327703E+006,4072.03,11.6989,4.072034E+006,-364.372,1525.18,55.6497,-18.9648,2.287000E-012,49.0333,-55.5803,187.728,5.16888
1270.60,-5.277549E+006,-2.742619E+006,2.327570E+006,4072.13,11.5821,4.072132E+006,-359.513,1523.54,55.6948,-19.2867,2.218350E-012,49.0333,-55.7012,187.727,5.16333
1270.70,-5.277470E+006,-2.742612E+006,2.327437E+006,4072.23,11.4651,4.072229E+006,-354.680,1521.88,55.7424,-19.6135,2.413119E-012,49.0333,-55.8233,187.726,5.15769
1270.80,-5.277391E+006,-2.742604E+006,2.327305E+006,4072.33,11.3479,4.072326E+006,-349.874,1520.19,55.7925,-19.9452,2.439635E-012,49.0333,-55.9469,187.726,5.15198
1270.90,-5.277311E+006,-2.742597E+006,2.327173E+006,4072.42,11.2306,4.072422E+006,-345.094,1518.48,55.8452,-20.2819,2.192336E-012,49.0333,-56.0717,187.725,5.14618
1271.00,-5.277231E+006,-2.742590E+006,2.327041E+006,4072.52,11.1130,4.072518E+006,-340.341,1516.74,55.9007,-20.6235,2.503281E-012,49.0333,-56.1979,187.724,5.14029
1271.10,-5.277150E+006,-2.742582E+006,2.326910E+006,4072.61,10.9952,4.072614E+006,-335.615,1514.98,55.9587,-20.9694,2.328779E-012,49.0333,-56.3259,187.724,5.13394
1271.20,-5.277069E+006,-2.742575E+006,2.326779E+006,4072.71,10.8772,4.072708E+006,-330.917,1513.19,56.0126,-21.2972,2.511724E-012,49.0333,-56.4656,187.723,5.11883
1271.30,-5.276988E+006,-2.742567E+006,2.326649E+006,4072.80,10.7590,4.072803E+006,-326.245,1511.37,56.0681,-21.6261,2.492039E-012,49.0333,-56.6065,187.722,5.10368
1271.40,-5.276906E+006,-2.742559E+006,2.326519E+006,4072.90,10.6407,4.072897E+006,-321.601,1509.53,56.1255,-21.9559,2.743600E-012,49.0333,-56.7485,187.721,5.08850
1271.50,-5.276824E+006,-2.742551E+006,2.326390E+006,4072.99,10.5221,4.072990E+006,-316.983,1507.67,56.1846,-22.2867,2.492009E-012,49.0333,-56.8916,187.721,5.07329
1271.60,-5.276742E+006,-2.742544E+006,2.326261E+006,4073.08,10.4034,4.073083E+006,-312.394,1505.77,56.2454,-22.6183,2.555651E-012,49.0333,-57.0359,187.720,5.05805
