TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
0.00000,-3.005782E+006,-1.570904E+006,5.383572E+006,0.00000,1.000000E-003,0.00000,-0.00000,0.100000,12.9708,22.7979,0.00000,-4.915789E-019,89.9900,198.314,2.938669E-004
0.100000,-3.005771E+006,-1.570926E+006,5.383572E+006,2.061595E-007,1.074936E-003,0.00000,3.758487E-005,1.39905,12.9912,22.8183,-3.055130E-010,-1.323873E-008,89.9899,198.314,4.111361E-003
0.200000,-3.005759E+006,-1.570948E+006,5.383572E+006,7.678869E-007,1.279879E-003,0.00000,1.421080E-004,2.70015,13.0116,22.8387,-2.409003E-009,-5.155289E-008,89.9899,198.315,7.934869E-003
0.300000,-3.005748E+006,-1.570970E+006,5.383573E+006,1.685844E-006,1.615034E-003,0.00000,3.155323E-004,4.00329,13.0321,22.8592,-8.098643E-009,-1.156551E-007,89.9898,198.315,1.176442E-002
0.400000,-3.005737E+006,-1.570992E+006,5.383573E+006,2.960699E-006,2.080605E-003,0.00000,5.598301E-004,5.30847,13.0525,22.8796,-1.917630E-008,-2.062606E-007,89.9897,198.315,1.560004E-002
0.500000,-3.005726E+006,-1.571014E+006,5.383573E+006,4.593130E-006,2.676797E-003,0.00000,8.769774E-004,6.61571,13.0731,22.9002,-3.745734E-008,-3.240870E-007,89.9896,198.316,1.944175E-002
0.600000,-3.005715E+006,-1.571036E+006,5.383574E+006,6.583822E-006,3.403815E-003,0.00000,1.268953E-003,7.92500,13.0936,22.9207,-6.477043E-008,-4.698545E-007,89.9895,198.316,2.328959E-002
0.700000,-3.005704E+006,-1.571058E+006,5.383575E+006,8.933466E-006,4.261866E-003,0.00000,1.737736E-003,9.23635,13.1142,22.9413,-1.029573E-007,-6.442853E-007,89.9894,198.316,2.714358E-002
0.800000,-3.005693E+006,-1.571080E+006,5.383576E+006,1.164277E-005,5.251154E-003,0.00000,2.285309E-003,10.5498,13.1349,22.9620,-1.538725E-007,-8.481040E-007,89.9893,198.317,3.100374E-002
0.900000,-3.005682E+006,-1.571103E+006,5.383577E+006,1.471243E-005,6.371887E-003,0.00000,2.913663E-003,11.8652,13.1555,22.9826,-2.193835E-007,-1.082037E-006,89.9892,198.317,3.487012E-002
1.00000,-3.005671E+006,-1.571125E+006,5.383578E+006,1.814318E-005,7.624271E-003,0.00000,3.624784E-003,13.1828,13.1763,23.0033,-3.013698E-007,-1.346814E-006,89.9891,198.318,3.874273E-002
1.10000,-3.005660E+006,-1.571147E+006,5.383579E+006,2.193573E-005,9.008513E-003,0.00000,4.420670E-003,14.5024,13.1970,23.0241,-4.017234E-007,-1.643164E-006,89.9890,198.318,4.262161E-002
1.20000,-3.005649E+006,-1.571169E+006,5.383580E+006,2.609082E-005,1.052482E-002,0.00000,5.303314E-003,15.8241,13.2178,23.0449,-5.223483E-007,-1.971820E-006,89.9889,198.318,4.650678E-002
1.30000,-3.005639E+006,-1.571192E+006,5.383582E+006,3.060919E-005,1.217340E-002,0.00000,6.274718E-003,17.1479,13.2386,23.0657,-6.651601E-007,-2.333516E-006,89.9888,198.319,5.039827E-002
1.40000,-3.005628E+006,-1.571214E+006,5.383583E+006,3.549159E-005,1.395446E-002,0.00000,7.336886E-003,18.4737,13.2595,23.0865,-8.320860E-007,-2.728988E-006,89.9886,198.319,5.429611E-002
1.50000,-3.005617E+006,-1.571236E+006,5.383585E+006,4.073877E-005,1.586822E-002,0.00000,8.491819E-003,19.8017,13.2803,23.1074,-1.025065E-006,-3.158973E-006,89.9885,198.319,5.820033E-002
1.60000,-3.005607E+006,-1.571259E+006,5.383586E+006,4.635151E-005,1.791487E-002,0.00000,9.741531E-003,21.1317,13.3013,23.1283,-1.246045E-006,-3.624209E-006,89.9884,198.320,6.211095E-002
1.70000,-3.005596E+006,-1.571281E+006,5.383588E+006,5.233057E-005,2.009463E-002,0.00000,1.108803E-002,22.4638,13.3222,23.1493,-1.496989E-006,-4.125436E-006,89.9883,198.320,6.602802E-002
