TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
12.9000,-3.004850E+006,-1.574017E+006,5.384552E+006,3.961415E-004,1.15953,0.342295,0.194803,185.826,15.9727,25.7466,-7.467004E-004,0.113898,85.6435,170.127,0.553359
13.0000,-3.004848E+006,-1.574044E+006,5.384568E+006,1.578741E-004,1.17819,9.493543E-002,0.119556,187.415,16.0011,25.7714,-7.642482E-004,0.118911,85.4936,170.118,0.558212
13.1000,-3.004845E+006,-1.574070E+006,5.384584E+006,1.630327E-004,1.19701,0.164433,3.774946E-002,189.006,16.0296,25.7961,-7.820621E-004,0.123997,85.3436,170.109,0.563074
13.2000,-3.004843E+006,-1.574097E+006,5.384600E+006,4.438119E-004,1.21599,0.445287,-5.085330E-002,190.600,16.0582,25.8209,-8.001440E-004,0.129156,85.1937,170.101,0.567947
13.3000,-3.004841E+006,-1.574124E+006,5.384616E+006,7.587359E-004,1.23513,0.747522,-0.146489,192.195,16.0870,25.8458,-8.184953E-004,0.134388,85.0437,170.093,0.572829
13.4000,-3.004838E+006,-1.574151E+006,5.384632E+006,1.098703E-003,1.25442,1.06987,-0.249395,193.793,16.1160,25.8706,-8.371177E-004,0.139692,84.8938,170.086,0.577721
13.5000,-3.004836E+006,-1.574178E+006,5.384648E+006,1.463215E-003,1.27388,1.42086,-0.359810,195.393,16.1451,25.8954,-8.560126E-004,0.145068,84.7438,170.080,0.582622
13.6000,-3.004834E+006,-1.574205E+006,5.384665E+006,1.852677E-003,1.29349,1.79124,-0.477971,196.996,16.1743,25.9203,-8.751816E-004,0.150518,84.5938,170.073,0.587534
13.7000,-3.004833E+006,-1.574232E+006,5.384681E+006,2.267704E-003,1.31326,2.18764,-0.604118,198.600,16.2037,25.9452,-8.946262E-004,0.156039,84.4439,170.067,0.592455
13.8000,-3.004831E+006,-1.574259E+006,5.384698E+006,2.708987E-003,1.33320,2.60511,-0.738492,200.207,16.2332,25.9701,-9.143479E-004,0.161634,84.2939,170.062,0.597386
13.9000,-3.004829E+006,-1.574286E+006,5.384715E+006,3.177248E-003,1.35329,3.05273,-0.881331,201.816,16.2629,25.9950,-9.343480E-004,0.167300,84.1440,170.057,0.602327
14.0000,-3.004827E+006,-1.574313E+006,5.384731E+006,3.673224E-003,1.37355,3.52542,-1.03288,203.427,16.2927,26.0200,-9.546281E-004,0.173039,83.9940,170.052,0.607279
14.1000,-3.004826E+006,-1.574340E+006,5.384748E+006,4.197661E-003,1.39396,4.02441,-1.19337,205.040,16.3226,26.0449,-9.751896E-004,0.178850,83.8441,170.047,0.612240
14.2000,-3.004825E+006,-1.574368E+006,5.384766E+006,4.751311E-003,1.41454,4.55195,-1.36306,206.655,16.3527,26.0699,-9.960337E-004,0.184732,83.6941,170.042,0.617211
14.3000,-3.004823E+006,-1.574395E+006,5.384783E+006,5.334931E-003,1.43527,5.10714,-1.54217,208.273,16.3829,26.0949,-1.017162E-003,0.190687,83.5442,170.038,0.622192
14.4000,-3.004822E+006,-1.574423E+006,5.384800E+006,5.949281E-003,1.45617,5.69217,-1.73097,209.892,16.4133,26.1199,-1.038575E-003,0.196714,83.3942,170.034,0.627184
14.5000,-3.004821E+006,-1.574450E+006,5.384818E+006,6.595123E-003,1.47723,6.30660,-1.92968,211.514,16.4438,26.1449,-1.060276E-003,0.202812,83.2443,170.030,0.632185
14.6000,-3.004820E+006,-1.574478E+006,5.384835E+006,7.273223E-003,1.49845,6.95171,-2.13856,213.138,16.4744,26.1700,-1.082264E-003,0.208981,83.0943,170.026,0.637197
14.7000,-3.004819E+006,-1.574505E+006,5.384853E+006,7.984348E-003,1.51983,7.62799,-2.35784,214.764,16.5052,26.1950,-1.104541E-003,0.215222,82.9443,170.023,0.642219
14.8000,-3.004818E+006,-1.574533E+006,5.384871E+006,8.729267E-003,1.54137,8.33704,-2.58778,216.393,16.5362,26.2201,-1.128205E-003,0.221750,82.7944,170.019,0.647251
14.9000,-3.004818E+006,-1.574560E+006,5.384889E+006,9.508756E-003,1.56308,9.07813,-2.82862,218.023,16.5674,26.2453,-1.155985E-003,0.229111,82.6444,170.016,0.652294
15.0000,-3.004817E+006,-1.574588E+006,5.384907E+006,1.032360E-002,1.58494,9.85318,-3.08061,219.656,16.5987,26.2704,-1.184061E-003,0.236558,82.4945,170.013,0.657347
15.1000,-3.004816E+006,-1.574616E+006,5.384925E+006,1.117457E-002,1.60697,10.6624,-3.34400,221.291,16.6302,26.2956,-1.212435E-003,0.244092,82.3445,170.010,0.662410
15.2000,-3.004816E+006,-1.574644E+006,5.384943E+006,1.206247E-002,1.62916,11.5068,-3.61904,222.928,16.6618,26.3208,-1.241113E-003,0.251712,82.1946,170.007,0.667484
15.3000,-3.004816E+006,-1.574672E+006,5.384962E+006,1.298808E-002,1.65151,12.3868,-3.90598,224.567,16.6936,26.3460,-1.270099E-003,0.259418,82.0446,170.005,0.672568
15.4000,-3.004815E+006,-1.574700E+006,5.384980E+006,1.395220E-002,1.67403,13.3035,-4.20507,226.209,16.7255,26.3712,-1.299397E-003,0.267211,81.8947,170.002,0.677663
15.5000,-3.004815E+006,-1.574728E+006,5.384999E+006,1.495561E-002,1.69671,14.2574,-4.51657,227.852,16.7576,26.3964,-1.329010E-003,0.275089,81.7447,170.000,0.682768
15.6000,-3.004815E+006,-1.574756E+006,5.385018E+006,1.599912E-002,1.71955,15.2492,-4.84073,229.498,16.7898,26.4216,-1.358943E-003,0.283052,81.5948,169.997,0.687884
15.7000,-3.004815E+006,-1.574784E+006,5.385037E+006,1.708351E-002,1.74255,16.2800,-5.17781,231.146,16.8222,26.4469,-1.389198E-003,0.291101,81.4448,169.995,0.693011
15.8000,-3.004816E+006,-1.574812E+006,5.385056E+006,1.820959E-002,1.76572,17.3501,-5.52805,232.796,16.8547,26.4722,-1.419779E-003,0.299235,81.2949,169.993,0.698148
15.9000,-3.004816E+006,-1.574841E+006,5.385075E+006,1.937816E-002,1.78905,18.4610,-5.89171,234.449,16.8873,26.4975,-1.450688E-003,0.307453,81.1449,169.991,0.703296
16.0000,-3.004816E+006,-1.574869E+006,5.385094E+006,2.059002E-002,1.81254,19.6124,-6.26904,236.103,16.9201,26.5228,-1.481929E-003,0.315756,80.9950,169.989,0.708455
16.1000,-3.004817E+006,-1.574898E+006,5.385113E+006,2.184597E-002,1.83619,20.8058,-6.66032,237.760,16.9530,26.5481,-1.513504E-003,0.324143,80.8450,169.987,0.713625
16.2000,-3.004817E+006,-1.574926E+006,5.385133E+006,2.314681E-002,1.86001,22.0420,-7.06578,239.419,16.9861,26.5735,-1.545416E-003,0.332613,80.6951,169.985,0.718805
16.3000,-3.004818E+006,-1.574955E+006,5.385152E+006,2.449337E-002,1.88400,23.3215,-7.48568,241.080,17.0194,26.5988,-1.577667E-003,0.341167,80.5451,169.983,0.723997
16.4000,-3.004819E+006,-1.574983E+006,5.385172E+006,2.588644E-002,1.90814,24.6450,-7.92029,242.743,17.0527,26.6242,-1.610259E-003,0.349805,80.3952,169.981,0.729199
